"Wijken en buurten","Regioaanduiding Gemeentenaam (naam)","Soort regio (omschrijving)","Codering (code)","Indelingswijziging gemeente, wijk, buurt (code)","Bevolking Aantal inwoners (aantal)","Bevolking Geslacht
Mannen (aantal)","Geslacht Vrouwen (aantal)","Leeftijdsgroepen 0 tot 15 jaar (aantal)","Leeftijdsgroepen 15 tot 25 jaar (aantal)","Leeftijdsgroepen 25 tot 45 jaar (aantal)","Leeftijdsgroepen 45 tot 65 jaar (aantal)","Leeftijdsgroepen 65 jaar of ouder (aantal)","Burgerlijke staat Ongehuwd (aantal)","Burgerlijke staat Gehuwd (aantal)","Burgerlijke staat Gescheiden (aantal)","Burgerlijke staat Verweduwd (aantal)","Personen met een migratieachtergrond Westers totaal (aantal)","Personen met een migratieachtergrond Niet-westers
Niet-westers totaal (aantal)","Niet-westers Marokko (aantal)","Niet-westers Nederlandse Antillen en Aruba (aantal)","Niet-westers Suriname (aantal)","Niet-westers Turkije (aantal)","Niet-westers Overig niet-westers (aantal)","Geboorte en sterfte Geboorte totaal (aantal)","Geboorte en sterfte Geboorte relatief (per 1 000 inwoners)","Geboorte en sterfte Sterfte totaal (aantal)","Geboorte en sterfte Sterfte relatief (per 1 000 inwoners)","Particuliere huishoudens Huishoudens totaal (aantal)","Particuliere huishoudens Eenpersoonshuishoudens (aantal)","Particuliere huishoudens Huishoudens zonder kinderen (aantal)","Particuliere huishoudens Huishoudens met kinderen (aantal)","Particuliere huishoudens Gemiddelde huishoudensgrootte (aantal)","Bevolking Bevolkingsdichtheid (aantal inwoners per km²)","Wonen Woningvoorraad (aantal)","Gemiddelde WOZ-waarde van woningen (x 1 000 euro)","Wonen Woningen naar type
Percentage eengezinswoning (%)","Woningen naar type Percentage meergezinswoning (%)","Woningen naar bewoning Percentage bewoond (%)","Woningen naar bewoning Percentage onbewoond (%)","Woningen naar eigendom Koopwoningen (%)","Woningen naar eigendom Huurwoningen
Huurwoningen totaal (%)","Huurwoningen In bezit woningcorporatie (%)","Huurwoningen In bezit overige verhuurders (%)","Woningen naar eigendom Eigendom onbekend (%)","Woningen naar bouwjaar Bouwjaar voor 2000 (%)","Woningen naar bouwjaar Bouwjaar vanaf 2000 (%)","Energie Gemiddelde elektriciteitslevering
Gemiddelde elektriciteitslevering totaal (kWh)","Gemiddelde elektriciteitslevering Naar woningtype
Appartement (kWh)","Naar woningtype Tussenwoning (kWh)","Naar woningtype Hoekwoning (kWh)","Naar woningtype Twee-onder-één-kap-woning (kWh)","Naar woningtype Vrijstaande woning (kWh)","Naar eigendom Huurwoning (kWh)","Naar eigendom Eigen woning (kWh)","Gemiddeld aardgasverbruik Gemiddeld aardgasverbruik totaal (m³)","Gemiddeld aardgasverbruik Naar woningtype
Appartement (m³)","Naar woningtype Tussenwoning (m³)","Naar woningtype Hoekwoning (m³)","Naar woningtype Twee-onder-één-kap-woning (m³)","Naar woningtype Vrijstaande woning (m³)","Naar eigendom Huurwoning (m³)","Naar eigendom Eigen woning (m³)","Gemiddeld aardgasverbruik Percentage woningen met stadsverwarming (%)","Opleidingsniveau Opleidingsniveau laag (aantal)","Opleidingsniveau middelbaar (aantal)","Opleidingsniveau hoog (aantal)","Arbeid Nettoarbeidsparticipatie (%)","Arbeid Onderverdeling werkenden
Percentage werknemers (%)","Onderverdeling werkenden Percentage zelfstandigen (%)","Inkomen Inkomen van personen
Aantal inkomensontvangers   (aantal)","Inkomen van personen Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)","Inkomen van personen Gemiddeld inkomen per inwoner  (x 1 000 euro)","Inkomen van personen 40% personen met laagste inkomen (%)","Inkomen van personen 20% personen met hoogste inkomen (%)","Inkomen van huishoudens Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)","Inkomen van huishoudens 40% huishoudens met laagste inkomen (%)","Inkomen van huishoudens 20% huishoudens met hoogste inkomen (%)","Inkomen van huishoudens Huishoudens met een laag inkomen (%)","Inkomen van huishoudens Huish. onder of rond sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 110% van sociaal minimum (%)","Inkomen van huishoudens Huishoudens tot 120% van sociaal minimum (%)","Inkomen van huishoudens Mediaan vermogen van particuliere huish. (x 1 000 euro)","Sociale zekerheid Personen per soort uitkering; Bijstand (aantal)","Personen per soort uitkering; AO (aantal)","Personen per soort uitkering; WW (aantal)","Personen per soort uitkering; AOW (aantal)","Zorg Jongeren met jeugdzorg in natura (aantal)","Percentage jongeren met jeugdzorg (%)","Wmo-cliënten (aantal)","Wmo-cliënten relatief (per 1 000 inwoners)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen totaal (aantal)","Bedrijfsvestigingen, SBI 2008 Bedrijfsvestigingen naar activiteit
A Landbouw, bosbouw en visserij (aantal)","Bedrijfsvestigingen naar activiteit B-F Nijverheid en energie (aantal)","Bedrijfsvestigingen naar activiteit G+I Handel en horeca (aantal)","Bedrijfsvestigingen naar activiteit H+J Vervoer, informatie en communicatie (aantal)","Bedrijfsvestigingen naar activiteit K-L Financiële diensten, onroerend goed (aantal)","Bedrijfsvestigingen naar activiteit M-N Zakelijke dienstverlening (aantal)","Bedrijfsvestigingen naar activiteit O-Q Overheid, onderwijs en zorg (aantal)","Bedrijfsvestigingen naar activiteit R-U Cultuur, recreatie, overige diensten (aantal)","Motorvoertuigen Personenauto's
Personenauto's totaal (aantal)","Personenauto's Personenauto's; brandstoftype
Personenauto's; brandstof benzine (aantal)","Personenauto's; brandstoftype Personenauto's; overige brandstof (aantal)","Personenauto's Personenauto's per huishouden (per huishouden)","Personenauto's Personenauto's naar oppervlakte (per km²)","Motorvoertuigen Motorfietsen (aantal)","Nabijheid voorzieningen Afstand tot huisartsenpraktijk (km)","Afstand tot grote supermarkt (km)","Afstand tot kinderdagverblijf (km)","Nabijheid voorzieningen Basisonderwijs
Afstand tot school (km)","Basisonderwijs Scholen binnen 3 km (aantal)","Oppervlakte Oppervlakte totaal (ha)","Oppervlakte land (ha)","Oppervlakte water (ha)","Postcode Meest voorkomende postcode (code)","Dekkingspercentage (code)","Stedelijkheid Mate van stedelijkheid (code)","Omgevingsadressendichtheid (per km²)"
"Nederland","Nederland","Land","NL00",".","17.590.672","8.745.468","8.845.204","2.712.461","2.158.241","4.399.003","4.795.514","3.525.453","8.674.526","6.667.185","1.386.143","862.818","1.909.408","2.529.492","419.272","176.912","359.814","429.978","1.143.516","167.504","10","170.112","10","8.138.591","3.172.564","2.349.821","2.616.206","2,1","523","8.045.580","317","64","36","96","4","57","43","29","14","0","82","18","2.630","1.930","2.670","2.810","3.160","3.960","2.020","3.080","970","660","920","1.090","1.270","1.650","760","1.130","6,5","3.536.680","5.595.970","4.287.930","71","83","17","14.179.300","37,4","30,8","40,0","20,0","35,6","40,0","20,0","4,2","6,3","9,5","12,0","135,3","396.600","757.220","130.320","3.245.870","471.505","10,7","1.240.195","71","2.275.240","79.965","316.395","391.415","172.250","184.765","519.465","362.260","248.725","8.827.710","7.023.175","1.804.535","1,1","262","677.785","1,1","0,9","0,7","0,8","9,9","4.154.337","3.364.723","789.614",".",".","2","2.039"
"Aa en Hunze","Aa en Hunze","Gemeente","GM1680","1","25.579","12.774","12.805","3.426","2.581","4.546","8.005","7.021","10.309","11.726","1.923","1.621","1.067","672","17","33","60","21","541","181","7","307","12","11.257","3.266","4.458","3.533","2,2","93","11.336","298","92","8","96","4","75","25","20","5","0","88","12","2.990","1.780","2.120","2.390","2.740","3.600","2.100","3.290","1.430","820","1.030","1.180","1.270","1.720","1.080","1.540",".","4.580","8.560","5.950","69","81","19","21.200","36,2","30,7","40,4","19,5","36,6","31,9","22,4","3,1","4,0","6,7","8,9","232,8","330","1.100","170","6.480","625","11,1","1.925","75","3.120","300","375","500","155","210","660","560","350","15.295","11.355","3.940","1,4","55","1.795","2,4","2,2","1,1","1,2","1,8","27.887","27.606","281",".",".","5","283"
"Wijk 00 Annen","Aa en Hunze","Wijk","WK168000","1","3.590","1.755","1.840","505","360","620","1.135","970","1.420","1.680","270","225","115","85","0","5","5","5","75","35","9","35","10","1.590","445","620","525","2,2","245","1.635","297","91","9","96","4","75","25","19","6","0","87","13","2.800","1.460","2.090","2.460","2.820","3.520","1.720","3.160","1.340","750","1.050","1.190","1.300","1.670","1.000","1.450",".","550","1.160","920","71","82","18","3.000","37,8","31,9","37,7","21,3","37,9","30,4","24,0","1,9","3,6","5,8","8,5","238,4","40","100","20","910","95","11,5","245","68","390","20","45","65","15","35","90","80","40","2.115","1.630","480","1,3","144","210","0,9","0,9","0,5","0,8","2,5","1.478","1.465","13",".",".","5","394"
"Annen","Aa en Hunze","Buurt","BU16800000","1","3.435","1.675","1.765","495","340","610","1.065","925","1.365","1.590","265","215","115","80","0","0","5","0","70","35","9","35","10","1.525","435","590","505","2,2","1.362","1.572","289","90","10","96","4","74","26","20","6","0","88","12","2.750","1.460","2.090","2.460","2.820","3.430","1.720","3.100","1.320","750","1.050","1.190","1.300","1.660","1.000","1.440",".","520","1.110","870","71","84","16","2.900","37,3","31,3","38,2","20,8","37,3","31,2","23,2","1,7","3,5","5,9","8,7","224,8","40","100","20","860","95","11,7","240","70","360","15","45","60","10","35","80","75","35","2.015","1.560","455","1,3","798","200","0,8","0,8","0,5","0,7","2,5","252","252","0","9468","1","5","408"
"Aalsmeer","Aalsmeer","Gemeente","GM0358","1","32.452","16.107","16.345","5.440","4.002","7.199","9.697","6.114","15.770","13.073","2.118","1.491","4.040","3.456","518","139","528","264","2.007","257","8","270","8","13.712","4.290","3.885","5.537","2,3","1.615","13.368","427","78","22","96","4","65","35","24","11","0","64","36","2.940","1.900","2.890","2.990","3.590","4.230","2.170","3.360","1.090","630","980","1.170","1.400","1.800","890","1.200",".","6.580","10.180","7.610","77","83","17","26.200","41,8","34,2","36,7","24,4","42,1","31,1","30,4","2,4","3,3","5,3","7,0","289,4","300","920","240","5.710","940","10,7",".",".","4.945","120","700","1.050","410","595","1.095","540","430","17.100","14.445","2.655","1,2","851","1.440","0,9","0,8","0,7","0,8","3,9","3.229","2.010","1.219",".",".","4","940"
"Wijk 00 Aalsmeer","Aalsmeer","Wijk","WK035800","1","12.900","6.295","6.600","1.800","1.470","2.805","3.660","3.165","5.960","5.115","955","870","1.610","1.210","175","45","165","95","725","115","9","175","14","5.815","2.075","1.780","1.955","2,2","1.838","5.862","402","72","28","95","5","59","41","24","16","0","75","25","2.750","1.930","2.720","2.850","3.480","4.130","2.060","3.210","1.110","690","1.060","1.240","1.420","1.860","920","1.230",".","2.570","3.880","3.060","77","81","19","10.600","40,5","34,3","37,7","22,5","42,6","35,0","25,8","2,8","3,9","6,4","8,3","268,3","150","380","100","3.020","285","9,6",".",".","2.150","25","275","500","175","275","455","225","220","6.865","5.830","1.035","1,2","978","520","0,9","0,7","0,7","0,8","3,5","1.440","702","739",".",".","3","1.025"
"Centrum","Aalsmeer","Buurt","BU03580000","1","2.910","1.405","1.500","390","260","715","750","800","1.310","1.095","200","295","415","200","10","10","30","25","130","35","11","80","28","1.360","565","420","375","2,0","5.473","1.456","407","42","58","94","6","58","42","20","22","0","51","49","2.630","1.890","3.290","3.350","3.840","4.250","1.840","3.190","960","690","1.010","1.290","1.340","1.870","750","1.100",".","600","820","660","79","79","21","2.300","45,7","38,7","34,1","27,5","44,8","35,2","29,5","2,4","3,1","5,6","7,7","311,8","10","40","30","780","45","7,8",".",".","590","5","65","140","40","90","135","60","55","1.405","1.205","205","1,0","2.649","130","0,9","0,5","0,7","0,6","3,0","61","53","8","1431","1","3","1.091"
"Bron: CBS."